"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Belgium","2007","Female","99.2",""
"Belgium","2007","Male","98.8",""
"Belgium","2006","Female","99.1",""
"Belgium","2006","Male","98.8",""
"Belgium","2005","Female","99.3",""
"Belgium","2005","Male","98.9",""
"Belgium","2004","Female","99.2",""
"Belgium","2004","Male","98.9",""
"Belgium","2003","Female","99.1","1"
"Belgium","2003","Male","99.0","1"
"Belgium","2002","Female","99.3","1"
"Belgium","2002","Male","99.0","1"
"Belgium","2001","Female","99.2",""
"Belgium","2001","Male","99.1",""
"Belgium","2000","Female","99.4","1"
"Belgium","2000","Male","99.0","1"
"Belize","2008","Female","90.7",""
"Belize","2008","Male","99.7","1"
"Belize","2007","Female","91.3",""
"Belize","2007","Male","99.8",""
"Belize","2006","Female","90.2",""
"Belize","2006","Male","99.8",""
"Belize","2005","Female","90.4","1"
"Belize","2005","Male","97.7","1"
"Belize","2004","Female","89.5",""
"Belize","2004","Male","98.5",""
"Belize","2003","Female","86.9",""
"Belize","2003","Male","95.1",""
"Belize","2002","Female","85.4","1"
"Belize","2002","Male","94.2","1"
"Belize","2001","Female","84.9","1"
"Belize","2001","Male","92.8","1"
"Belize","2000","Female","86.4","1"
"Belize","2000","Male","93.7","1"
"Bhutan","2012","Female","91.5",""
"Bhutan","2012","Male","88.9",""
"Bhutan","2011","Female","90.9",""
"Bhutan","2011","Male","87.9",""
"Bhutan","2010","Female","91.5",""
"Bhutan","2010","Male","88.3",""
"Bhutan","2009","Female","90.2",""
"Bhutan","2009","Male","87.6",""
"Bhutan","2008","Female","86.0",""
"Bhutan","2008","Male","83.8",""
"Bhutan","2006","Female","79.1","1"
"Bhutan","2006","Male","78.4","1"
"Bhutan","2005","Female","73.8","1"
"Bhutan","2005","Male","73.8","1"
"Bhutan","2001","Female","58.7",""
"Bhutan","2001","Male","64.5",""
"Bhutan","2000","Female","55.5",""
"Bhutan","2000","Male","61.5",""
"Bolivia (Plurinational State of)","2010","Female","91.5",""
"Bolivia (Plurinational State of)","2010","Male","91.2",""
"Bolivia (Plurinational State of)","2009","Female","94.4",""
"Bolivia (Plurinational State of)","2009","Male","94.2",""
"Bolivia (Plurinational State of)","2007","Female","95.8",""
"Bolivia (Plurinational State of)","2007","Male","95.2",""
"Bolivia (Plurinational State of)","2006","Female","97.0",""
"Bolivia (Plurinational State of)","2006","Male","96.2",""
"Bolivia (Plurinational State of)","2004","Female","96.4","1"
"Bolivia (Plurinational State of)","2004","Male","95.4","1"
"Bolivia (Plurinational State of)","2003","Female","96.2","1"
"Bolivia (Plurinational State of)","2003","Male","95.5","1"
"Bolivia (Plurinational State of)","2002","Female","96.0","1"
"Bolivia (Plurinational State of)","2002","Male","95.6","1"
"Bolivia (Plurinational State of)","2001","Female","95.4","1"
"Bolivia (Plurinational State of)","2001","Male","94.9","1"
"Bolivia (Plurinational State of)","2000","Female","96.3","1"
"Bolivia (Plurinational State of)","2000","Male","96.1","1"
"Bosnia and Herzegovina","2011","Female","90.6",""
"Bosnia and Herzegovina","2011","Male","89.2",""
"Bosnia and Herzegovina","2010","Female","88.4",""
"Bosnia and Herzegovina","2010","Male","86.5",""
"Bosnia and Herzegovina","2009","Female","85.0",""
"Bosnia and Herzegovina","2009","Male","83.0",""
"Botswana","2009","Female","87.9",""
"Botswana","2009","Male","86.7",""
"Botswana","2008","Female","86.9",""
"Botswana","2008","Male","85.1",""
"Botswana","2007","Female","86.7",""
"Botswana","2007","Male","84.9",""
"Botswana","2006","Female","87.0",""
"Botswana","2006","Male","85.2",""
"Botswana","2005","Female","86.1",""
"Botswana","2005","Male","83.3",""
"Botswana","2004","Female","85.1",""
"Botswana","2004","Male","85.1",""
"Botswana","2003","Female","85.4",""
"Botswana","2003","Male","82.3",""
"Botswana","2002","Female","84.9",""
"Botswana","2002","Male","82.0",""
"Botswana","2001","Female","84.6",""
"Botswana","2001","Male","81.2",""
"Botswana","2000","Female","82.8",""
"Botswana","2000","Male","79.3",""
"Brazil","2005","Female","96.8",""
"Brazil","2005","Male","94.5",""
"Brazil","2004","Female","92.1","2"
"Brazil","2004","Male","96.8","2"
"Bulgaria","2010","Female","99.7",""
"Bulgaria","2010","Male","99.3",""
"Bulgaria","2009","Female","99.7",""
"Bulgaria","2009","Male","98.9",""
"Bulgaria","2008","Female","98.8",""
"Bulgaria","2008","Male","98.6",""
"Bulgaria","2007","Female","96.8",""
"Bulgaria","2007","Male","97.1",""
"Bulgaria","2006","Female","93.3",""
"Bulgaria","2006","Male","93.7",""
"Bulgaria","2005","Female","94.1",""
"Bulgaria","2005","Male","94.3",""
"Bulgaria","2004","Female","96.6",""
"Bulgaria","2004","Male","96.9",""
"Bulgaria","2003","Female","96.8",""
"Bulgaria","2003","Male","97.1",""
"Bulgaria","2002","Female","96.7",""
"Bulgaria","2002","Male","97.4",""
"Bulgaria","2001","Female","97.5",""
"Bulgaria","2001","Male","99.1",""
"Bulgaria","2000","Female","97.3",""
"Bulgaria","2000","Male","98.9",""
"Burkina Faso","2011","Female","61.1",""
"Burkina Faso","2011","Male","65.2",""
"Burkina Faso","2010","Female","55.9",""
"Burkina Faso","2010","Male","60.7",""
"Burkina Faso","2009","Female","57.7",""
"Burkina Faso","2009","Male","65.1",""
"Burkina Faso","2008","Female","54.2",""
"Burkina Faso","2008","Male","62.7",""
"Burkina Faso","2007","Female","47.8",""
"Burkina Faso","2007","Male","57.2",""
"Burkina Faso","2006","Female","42.5",""
"Burkina Faso","2006","Male","52.0",""
"Burkina Faso","2005","Female","38.7",""
"Burkina Faso","2005","Male","48.5",""
"Burkina Faso","2004","Female","34.6","1"
"Burkina Faso","2004","Male","44.6","1"
"Burkina Faso","2003","Female","31.6",""
"Burkina Faso","2003","Male","42.0",""
"Burkina Faso","2002","Female","30.1","1"
"Burkina Faso","2002","Male","40.7","1"
"Burkina Faso","2001","Female","29.7",""
"Burkina Faso","2001","Male","41.2",""
"Burkina Faso","2000","Female","28.6",""
"Burkina Faso","2000","Male","40.3",""
"Burundi","2007","Female","88.7","1"
"Burundi","2007","Male","90.8","1"
"Burundi","2006","Female","80.1","1"
"Burundi","2006","Male","82.9","1"
"Burundi","2005","Female","60.1","1"
"Burundi","2005","Male","66.1","1"
"Burundi","2004","Female","56.0","1"
"Burundi","2004","Male","62.7","1"
"Burundi","2003","Female","52.4","1"
"Burundi","2003","Male","62.5","1"
"Burundi","2002","Female","48.2","1"
"Burundi","2002","Male","59.1","1"
"Burundi","2001","Female","49.2","1"
"Burundi","2001","Male","59.3","1"
"Burundi","2000","Female","40.8","1"
"Burundi","2000","Male","48.9","1"
"Cabo Verde","2011","Female","92.4",""
"Cabo Verde","2011","Male","95.1",""
"Cabo Verde","2010","Female","92.4",""
"Cabo Verde","2010","Male","94.6",""
"Cabo Verde","2009","Female","91.9",""
"Cabo Verde","2009","Male","94.5",""
"Cabo Verde","2008","Female","92.4",""
"Cabo Verde","2008","Male","94.4",""
"Cabo Verde","2007","Female","93.9",""
"Cabo Verde","2007","Male","95.5",""
"Cabo Verde","2006","Female","95.4",""
"Cabo Verde","2006","Male","96.6",""
"Cabo Verde","2005","Female","96.7",""
"Cabo Verde","2005","Male","98.0",""
"Cabo Verde","2004","Female","98.0",""
"Cabo Verde","2004","Male","98.8",""
"Cabo Verde","2003","Female","97.7",""
"Cabo Verde","2003","Male","99.4",""
"Cabo Verde","2002","Female","98.1","1"
"Cabo Verde","2002","Male","99.4","1"
"Cabo Verde","2001","Female","97.9",""
"Cabo Verde","2001","Male","99.7",""
"Cambodia","2011","Female","96.7",""
"Cambodia","2011","Male","99.8",""
"Cambodia","2010","Female","95.4",""
"Cambodia","2010","Male","96.4",""
"Cambodia","2008","Female","94.0",""
"Cambodia","2008","Male","97.8",""
"Cambodia","2007","Female","94.7",""
"Cambodia","2007","Male","98.8",""
"Cambodia","2006","Female","94.5",""
"Cambodia","2006","Male","96.4",""
"Cambodia","2003","Female","94.5",""
"Cambodia","2003","Male","98.6",""
"Cambodia","2000","Female","86.0",""
"Cambodia","2000","Male","97.0",""
"Cameroon","2010","Female","87.4",""
"Cameroon","2010","Male","99.6",""
"Central African Republic","2011","Female","59.5",""
"Central African Republic","2011","Male","78.4",""
"Central African Republic","2010","Female","60.6","1"
"Central African Republic","2010","Male","81.3","1"
"Central African Republic","2009","Female","58.0",""
"Central African Republic","2009","Male","78.8",""
"Central African Republic","2008","Female","57.5","1"
"Central African Republic","2008","Male","77.9","1"
"Central African Republic","2007","Female","48.4",""
"Central African Republic","2007","Male","67.8",""
"Central African Republic","2006","Female","41.5","1"
"Central African Republic","2006","Male","57.7","1"
"Central African Republic","2005","Female","41.4",""
"Central African Republic","2005","Male","57.0",""
"Chad","2003","Female","51.2","1"
"Chad","2003","Male","73.7","1"
"Chad","2002","Female","48.9",""
"Chad","2002","Male","72.0",""
"Chad","2001","Female","45.3","1"
"Chad","2001","Male","67.2","1"
"Chad","2000","Female","43.1",""
"Chad","2000","Male","66.0",""
"Chile","2010","Female","94.4",""
"Chile","2010","Male","94.3",""
"Chile","2009","Female","93.6",""
"Chile","2009","Male","94.0",""
"Chile","2008","Female","95.2",""
"Chile","2008","Male","96.2",""
"Chile","2007","Female","94.8",""
"Chile","2007","Male","95.6",""
"Colombia","2011","Female","90.0",""
"Colombia","2011","Male","90.2",""
"Colombia","2010","Female","91.3",""
"Colombia","2010","Male","91.7",""
"Colombia","2009","Female","93.1",""
"Colombia","2009","Male","93.2",""
"Colombia","2008","Female","93.7",""
"Colombia","2008","Male","93.6",""
"Colombia","2007","Female","94.6",""
"Colombia","2007","Male","93.8",""
"Colombia","2006","Female","95.6",""
"Colombia","2006","Male","95.1",""
"Colombia","2005","Female","96.5","1"
"Colombia","2005","Male","96.1","1"
"Colombia","2002","Female","92.5","1"
"Colombia","2002","Male","93.6","1"
"Colombia","2000","Female","96.8","1"
"Colombia","2000","Male","96.9","1"
"Comoros","2007","Female","74.8",""
"Comoros","2007","Male","80.7",""
"Comoros","2000","Female","67.4","2"
"Comoros","2000","Male","79.4","2"
"Congo","2011","Female","90.3",""
"Congo","2011","Male","94.7",""
"Congo","2010","Female","89.3","2"
"Congo","2010","Male","92.3","2"
"Congo","2006","Female","53.9","1"
"Congo","2006","Male","59.5","1"
"Congo","2005","Female","57.8",""
"Congo","2005","Male","48.1",""
"Cook Islands","2010","Female","99.3","2"
"Cook Islands","2010","Male","97.6","2"
"Cook Islands","2007","Female","97.9","2"
"Cook Islands","2007","Male","99.3","2"
"Cook Islands","2000","Female","95.9","1"
"Cook Islands","2000","Male","93.0","1"
"Côte d’Ivoire","2009","Female","55.8",""
"Côte d’Ivoire","2009","Male","67.1",""
"Côte d’Ivoire","2003","Female","52.5","1"
"Côte d’Ivoire","2003","Male","65.7","1"
"Côte d’Ivoire","2002","Female","52.5",""
"Côte d’Ivoire","2002","Male","71.7",""
"Côte d’Ivoire","2001","Female","52.8","1"
"Côte d’Ivoire","2001","Male","70.2","1"
"Côte d’Ivoire","2000","Female","48.2","1"
"Côte d’Ivoire","2000","Male","65.5","1"
"Croatia","2010","Female","97.0",""
"Croatia","2010","Male","94.8",""
"Croatia","2009","Female","93.5",""
"Croatia","2009","Male","92.9",""
"Croatia","2008","Female","99.8",""
"Croatia","2008","Male","97.3",""
"Croatia","2007","Female","99.9",""
"Croatia","2007","Male","98.0",""
"Croatia","2006","Female","99.8",""
"Croatia","2006","Male","98.2",""
"Croatia","2005","Female","99.9",""
"Croatia","2005","Male","98.1",""
"Croatia","2003","Female","93.0",""
"Croatia","2003","Male","93.6",""
"Croatia","2002","Female","92.9",""
"Croatia","2002","Male","93.6",""
"Croatia","2001","Female","92.3",""
"Croatia","2001","Male","93.2",""
"Croatia","2000","Female","92.0",""
"Croatia","2000","Male","92.8",""
"Cuba","2011","Female","98.3",""
"Cuba","2011","Male","98.4",""
"Cuba","2010","Female","99.7",""
"Cuba","2010","Male","100.0",""
"Cuba","2008","Female","99.1",""
"Cuba","2008","Male","99.9",""
"Cuba","2007","Female","98.2",""
"Cuba","2007","Male","99.4",""
"Cuba","2006","Female","96.1",""
"Cuba","2006","Male","96.2",""
"Cuba","2005","Female","94.7",""
"Cuba","2005","Male","95.7",""
"Cuba","2004","Female","94.0",""
"Cuba","2004","Male","95.6",""
"Cuba","2003","Female","94.3",""
"Cuba","2003","Male","95.3",""
"Cuba","2002","Female","96.5",""
"Cuba","2002","Male","97.2",""
"Cuba","2001","Female","97.1",""
"Cuba","2001","Male","97.9",""
"Cuba","2000","Female","97.8",""
"Cuba","2000","Male","98.4",""
"Cyprus","2010","Female","99.5",""
"Cyprus","2010","Male","99.1",""
"Cyprus","2009","Female","98.8","2"
"Cyprus","2009","Male","99.4","2"
"Cyprus","2008","Female","98.7","2"
"Cyprus","2008","Male","99.2","2"
"Cyprus","2007","Female","99.2","2"
"Cyprus","2007","Male","99.4","2"
"Cyprus","2006","Female","99.5","2"
"Cyprus","2006","Male","99.5","2"
"Cyprus","2005","Female","99.7","2"
"Cyprus","2005","Male","99.6","2"
"Cyprus","2004","Female","98.7","2"
"Cyprus","2004","Male","98.8","2"
"Cyprus","2003","Female","98.8","2"
"Cyprus","2003","Male","98.5","2"
"Cyprus","2002","Female","98.8","2"
"Cyprus","2002","Male","98.2","2"
"Cyprus","2001","Female","97.8","2"
"Cyprus","2001","Male","97.3","2"
"Cyprus","2000","Female","98.4","2"
"Cyprus","2000","Male","97.8","2"
"Denmark","2010","Female","96.9",""
"Denmark","2010","Male","94.8",""
"Denmark","2009","Female","97.1",""
"Denmark","2009","Male","94.9",""
"Denmark","2008","Female","97.3",""
"Denmark","2008","Male","95.0",""
"Denmark","2007","Female","97.6",""
"Denmark","2007","Male","96.1",""
"Denmark","2006","Female","97.2",""
"Denmark","2006","Male","95.7",""
"Denmark","2005","Female","96.7",""
"Denmark","2005","Male","95.4",""
"Denmark","2004","Female","98.8",""
"Denmark","2004","Male","97.6",""
"Denmark","2000","Female","98.5",""
"Denmark","2000","Male","97.7",""
"Djibouti","2012","Female","51.0",""
"Djibouti","2012","Male","57.2",""
"Djibouti","2011","Female","49.1",""
"Djibouti","2011","Male","54.9",""
"Djibouti","2009","Female","42.2","1"
"Djibouti","2009","Male","46.9","1"
"Djibouti","2008","Female","42.7",""
"Djibouti","2008","Male","47.9",""
"Djibouti","2007","Female","38.4","1"
"Djibouti","2007","Male","45.0","1"
"Djibouti","2006","Female","34.2",""
"Djibouti","2006","Male","41.8",""
"Djibouti","2005","Female","31.0",""
"Djibouti","2005","Male","38.3",""
"Djibouti","2004","Female","29.1","1"
"Djibouti","2004","Male","36.7","1"
"Djibouti","2003","Female","27.3","1"
"Djibouti","2003","Male","35.1","1"
"Djibouti","2002","Female","25.6","1"
"Djibouti","2002","Male","33.3","1"
"Djibouti","2001","Female","24.7","1"
"Djibouti","2001","Male","32.4","1"
"Djibouti","2000","Female","23.1","1"
"Djibouti","2000","Male","30.5","1"
"Dominica","2008","Female","97.3",""
"Dominica","2008","Male","96.4",""
"Dominica","2007","Female","94.6","1"
"Dominica","2007","Male","94.7","1"
"Dominica","2006","Female","96.8",""
"Dominica","2006","Male","92.6",""
"Dominica","2005","Female","97.5","1"
"Dominica","2005","Male","94.6","1"
"Dominican Republic","2011","Female","91.0",""
"Dominican Republic","2011","Male","93.3",""
"Dominican Republic","2010","Female","90.4",""
"Dominican Republic","2010","Male","95.5",""
"Dominican Republic","2009","Female","91.3",""
"Dominican Republic","2009","Male","99.3",""
"Dominican Republic","2008","Female","86.6",""
"Dominican Republic","2008","Male","85.0",""
"Dominican Republic","2007","Female","90.1",""
"Dominican Republic","2007","Male","88.5",""
"Dominican Republic","2006","Female","84.6",""
"Dominican Republic","2006","Male","81.4",""
"Dominican Republic","2005","Female","85.3",""
"Dominican Republic","2005","Male","83.5",""
"Dominican Republic","2004","Female","83.6","1"
"Dominican Republic","2004","Male","81.8","1"
"Dominican Republic","2003","Female","85.1","1"
"Dominican Republic","2003","Male","90.1","1"
"Dominican Republic","2002","Female","88.6",""
"Dominican Republic","2002","Male","92.6",""
"Dominican Republic","2000","Female","85.3",""
"Dominican Republic","2000","Male","84.3",""
"Egypt","2004","Female","96.0","1"
"Egypt","2004","Male","98.7","1"
"Egypt","2003","Female","94.2","1"
"Egypt","2003","Male","98.0","1"
"Egypt","2002","Female","92.7","1"
"Egypt","2002","Male","97.1","1"
"Egypt","2001","Female","91.0","1"
"Egypt","2001","Male","96.2","1"
"Egypt","2000","Female","89.5","1"
"Egypt","2000","Male","95.5","1"
"El Salvador","2011","Female","95.9",""
"El Salvador","2011","Male","95.8",""
"El Salvador","2010","Female","95.5",""
"El Salvador","2010","Male","95.2",""
"El Salvador","2009","Female","95.0",""
"El Salvador","2009","Male","94.1",""
"El Salvador","2008","Female","95.2",""
"El Salvador","2008","Male","94.0",""
"El Salvador","2007","Female","95.3",""
"El Salvador","2007","Male","94.1",""
"El Salvador","2006","Female","95.6",""
"El Salvador","2006","Male","94.5",""
"El Salvador","2005","Female","95.8","1"
"El Salvador","2005","Male","94.4","1"
"El Salvador","2004","Female","94.0","1"
"El Salvador","2004","Male","92.6","1"
"El Salvador","2003","Female","89.1","1"
"El Salvador","2003","Male","88.3","1"
"El Salvador","2002","Female","88.8","1"
"El Salvador","2002","Male","87.6","1"
"El Salvador","2001","Female","86.5",""
"El Salvador","2001","Male","85.4",""
"Equatorial Guinea","2011","Female","58.8",""
"Equatorial Guinea","2011","Male","59.0",""
"Equatorial Guinea","2010","Female","56.0",""
"Equatorial Guinea","2010","Male","56.5",""
"Equatorial Guinea","2009","Female","55.4",""
"Equatorial Guinea","2009","Male","56.3",""
"Equatorial Guinea","2008","Female","55.1",""
"Equatorial Guinea","2008","Male","56.6",""
"Equatorial Guinea","2003","Female","68.7","1"
"Equatorial Guinea","2003","Male","76.2","1"
"Equatorial Guinea","2002","Female","68.0",""
"Equatorial Guinea","2002","Male","79.7",""
"Equatorial Guinea","2001","Female","70.7","1"
"Equatorial Guinea","2001","Male","81.2","1"
"Eritrea","2011","Female","34.2",""
"Eritrea","2011","Male","39.6",""
"Eritrea","2010","Female","32.5",""
"Eritrea","2010","Male","37.2",""
"Eritrea","2009","Female","34.6",""
"Eritrea","2009","Male","39.5",""
"Eritrea","2008","Female","37.5",""
"Eritrea","2008","Male","43.0",""
"Eritrea","2007","Female","40.9",""
"Eritrea","2007","Male","46.4",""
"Eritrea","2006","Female","45.2",""
"Eritrea","2006","Male","51.8",""
"Eritrea","2005","Female","45.9",""
"Eritrea","2005","Male","53.5",""
"Eritrea","2004","Female","45.0",""
"Eritrea","2004","Male","52.9",""
"Eritrea","2003","Female","43.5",""
"Eritrea","2003","Male","51.0",""
"Eritrea","2002","Female","40.0",""
"Eritrea","2002","Male","47.1",""
"Eritrea","2001","Female","36.4",""
"Eritrea","2001","Male","42.2",""
"Eritrea","2000","Female","35.2",""
"Eritrea","2000","Male","40.7",""
"Estonia","2010","Female","97.0",""
"Estonia","2010","Male","97.7",""
"Estonia","2009","Female","96.0",""
"Estonia","2009","Male","96.5",""
"Estonia","2008","Female","96.6",""
"Estonia","2008","Male","96.4",""
"Estonia","2007","Female","96.4",""
"Estonia","2007","Male","95.6",""
"Estonia","2006","Female","97.3",""
"Estonia","2006","Male","96.8",""
"Estonia","2005","Female","97.8",""
"Estonia","2005","Male","97.0",""
"Estonia","2004","Female","97.8",""
"Estonia","2004","Male","96.7",""
"Estonia","2003","Female","97.9",""
"Estonia","2003","Male","97.5",""
"Estonia","2001","Female","99.8",""
"Estonia","2001","Male","100.0",""
"Estonia","2000","Female","99.2",""
"Estonia","2000","Male","99.4",""
"Ethiopia","2011","Female","84.4",""
"Ethiopia","2011","Male","90.4",""
"Ethiopia","2010","Female","79.5",""
"Ethiopia","2010","Male","84.8",""
"Ethiopia","2009","Female","80.8",""
"Ethiopia","2009","Male","85.9",""
"Ethiopia","2008","Female","79.5",""
"Ethiopia","2008","Male","85.9",""
"Ethiopia","2007","Female","72.3",""
"Ethiopia","2007","Male","78.5",""
"Ethiopia","2006","Female","65.6",""
"Ethiopia","2006","Male","71.8",""
"Ethiopia","2005","Female","59.0",""
"Ethiopia","2005","Male","66.4",""
"Ethiopia","2004","Female","46.6",""
"Ethiopia","2004","Male","55.0",""
"Ethiopia","2003","Female","42.3",""
"Ethiopia","2003","Male","52.5",""
"Ethiopia","2002","Female","41.0",""
"Ethiopia","2002","Male","52.0",""
"Ethiopia","2001","Female","38.7",""
"Ethiopia","2001","Male","50.2",""
"Ethiopia","2000","Female","34.2",""
"Ethiopia","2000","Male","46.6",""
"Fiji","2011","Female","100.0",""
"Fiji","2011","Male","98.1",""
"Fiji","2009","Female","99.3",""
"Fiji","2009","Male","98.8",""
"Fiji","2007","Female","99.5","1"
"Fiji","2007","Male","98.8","1"
"Fiji","2006","Female","99.5",""
"Fiji","2006","Male","98.2",""
"Fiji","2004","Female","99.3",""
"Fiji","2004","Male","99.0",""
"Fiji","2003","Female","99.3","1"
"Fiji","2003","Male","98.2","1"
"Fiji","2001","Female","97.7",""
"Fiji","2001","Male","97.5",""
"Fiji","2000","Female","94.7","1"
"Fiji","2000","Male","94.7","1"
"Finland","2010","Female","97.9",""
"Finland","2010","Male","97.7",""
"Finland","2009","Female","97.7",""
"Finland","2009","Male","97.5",""
"Finland","2008","Female","97.7",""
"Finland","2008","Male","97.6",""
"Finland","2007","Female","97.7",""
