"Country or Area","Year(s)","Value","Value Footnotes"
"Bahamas","2009","5.8 [5.1-6.6]",""
"Bahamas","2008","6.3 [5.5-7.1]",""
"Bahamas","2007","6 [5.2-6.8]",""
"Bahamas","2006","8.1 [7.1-9.1]",""
"Bahamas","2005","6.8 [5.9-7.7]",""
"Bahamas","2004","7.9 [6.9-8.9]",""
"Bahamas","2003","5.9 [5.2-6.7]",""
"Bahamas","2002","7.1 [6.2-8]",""
"Bahamas","2001","9.9 [8.7-11]",""
"Bahamas","2000","14 [12-16]",""
"Bahrain","2012","0.89 [0.25-1.9]",""
"Bahrain","2011","0.9 [0.33-1.8]",""
"Bahrain","2010","0.84 [0.28-1.7]",""
"Bahrain","2009","0.98 [0.39-1.8]",""
"Bahrain","2008","1 [0.37-2]",""
"Bahrain","2007","1.1 [0.41-2.2]",""
"Bahrain","2004","1.1 [0.32-2.5]",""
"Bangladesh","2012","0.16 [0.13-0.19]",""
"Bangladesh","2011","0.22 [0.18-0.27]",""
"Bangladesh","2010","0.2 [0.17-0.24]",""
"Bangladesh","2009","0.18 [0.15-0.22]",""
"Bangladesh","2008","0.18 [0.15-0.22]",""
"Bangladesh","2007","0.16 [0.13-0.19]",""
"Bangladesh","2006","0.16 [0.13-0.19]",""
"Bangladesh","2005","0.13 [0.11-0.16]",""
"Bangladesh","2004","0.11 [0.09-0.13]",""
"Bangladesh","2003","0.11 [0.09-0.13]",""
"Bangladesh","2002","0.09 [0.07-0.11]",""
"Bangladesh","2001","0.07 [0.06-0.08]",""
"Bangladesh","2000","0.07 [0.06-0.08]",""
"Barbados","2012","0.53 [0.47-0.6]",""
"Barbados","2010","0.95 [0.83-1.1]",""
"Barbados","2009","0.32 [0.28-0.36]",""
"Barbados","2008","0.46 [0.4-0.52]",""
"Barbados","2007","2.2 [2-2.5]",""
"Barbados","2006","0.7 [0.61-0.79]",""
"Barbados","2005","1.6 [1.4-1.8]",""
"Barbados","2004","2.3 [2-2.6]",""
"Barbados","2003","1.3 [1.1-1.4]",""
"Barbados","2002","0.52 [0.45-0.59]",""
"Barbados","2001","0.59 [0.51-0.66]",""
"Barbados","2000","0.27 [0.24-0.31]",""
"Belarus","2012","3 [2.4-3.6]",""
"Belarus","2011","2.8 [2.3-3.4]",""
"Belarus","2010","2.7 [2.2-3.3]",""
"Belarus","2009","2.5 [2-3.1]",""
"Belarus","2008","2.2 [1.7-2.8]",""
"Belarus","2007","1.9 [1.5-2.4]",""
"Belarus","2006","1.6 [1.2-2]",""
"Belarus","2005","1.3 [1-1.6]",""
"Belarus","2004","0.97 [0.75-1.2]",""
"Belarus","2003","0.68 [0.53-0.85]",""
