"Country or Area","Year(s)","Value","Value Footnotes"
"Austria","2000","69 [69-69]",""
"Azerbaijan","2012","390 [340-450]",""
"Azerbaijan","2011","390 [340-450]",""
"Azerbaijan","2010","390 [330-440]",""
"Azerbaijan","2009","380 [330-440]",""
"Azerbaijan","2008","380 [330-430]",""
"Azerbaijan","2007","370 [320-430]",""
"Azerbaijan","2006","550 [460-650]",""
"Azerbaijan","2005","820 [660-1000]",""
"Azerbaijan","2004","1200 [940-1500]",""
"Azerbaijan","2003","1400 [1100-1800]",""
"Azerbaijan","2002","1500 [1200-1900]",""
"Azerbaijan","2001","1600 [1300-2000]",""
"Azerbaijan","2000","1800 [1400-2200]",""
"Bahamas","2012","1.4 [1.3-1.4]",""
"Bahamas","2011","1.6 [1.5-1.6]",""
"Bahamas","2010","1.8 [1.8-1.9]",""
"Bahamas","2009","2.1 [2.1-2.2]",""
"Bahamas","2008","4 [3.9-4]",""
"Bahamas","2007","3 [3-3]",""
"Bahamas","2006","2 [2-2.1]",""
"Bahamas","2005","3.7 [3.7-3.8]",""
"Bahamas","2004","6.7 [6.3-7]",""
"Bahamas","2003","3.4 [3.2-3.6]",""
"Bahamas","2002","4.3 [4.1-4.4]",""
"Bahamas","2001","4.2 [4.1-4.2]",""
"Bahamas","2000","6.5 [6.2-6.8]",""
"Bahrain","2012","4.5 [3.7-5.4]",""
"Bahrain","2011","5 [4.2-5.9]",""
"Bahrain","2010","5.5 [4.7-6.4]",""
"Bahrain","2009","7.3 [6.5-8.2]",""
"Bahrain","2008","6.4 [5.8-7]",""
"Bahrain","2007","7.9 [7.3-8.5]",""
"Bahrain","2006","3.7 [3.3-4]",""
"Bahrain","2005","7.5 [6.9-8.2]",""
"Bahrain","2004","9.1 [8.3-9.9]",""
"Bahrain","2003","2.2 [2.1-2.4]",""
"Bahrain","2002","11 [9.9-13]",""
"Bahrain","2001","12 [10-15]",""
"Bahrain","2000","17 [15-20]",""
"Bangladesh","2012","70000 [29000-130000]",""
"Bangladesh","2011","70000 [28000-130000]",""
"Bangladesh","2010","69000 [28000-130000]",""
"Bangladesh","2009","70000 [28000-130000]",""
"Bangladesh","2008","70000 [28000-130000]",""
"Bangladesh","2007","71000 [28000-130000]",""
"Bangladesh","2006","72000 [29000-140000]",""
"Bangladesh","2005","74000 [29000-140000]",""
"Bangladesh","2004","75000 [29000-140000]",""
"Bangladesh","2003","76000 [29000-150000]",""
"Bangladesh","2002","77000 [29000-150000]",""
"Bangladesh","2001","77000 [29000-150000]",""
"Bangladesh","2000","77000 [29000-150000]",""
"Barbados","2012","2 [1.9-2]",""
"Barbados","2011","1.9 [1.9-2]",""
"Barbados","2010","1.9 [1.9-2]",""
"Barbados","2009","1.9 [1.9-2]",""
"Barbados","2008","0.89 [0.87-0.9]",""
"Barbados","2007","2.7 [2.6-2.7]",""
"Barbados","2006","1.8 [1.7-1.8]",""
"Barbados","2005","1.7 [1.7-1.7]",""
"Barbados","2004","2.1 [2-2.1]",""
"Barbados","2003","0.9 [0.88-0.91]",""
"Barbados","2002","1 [1-1.1]",""
"Barbados","2001","1.3 [1.1-1.6]",""
"Barbados","2000","1.9 [1.9-1.9]",""
"Belarus","2012","570 [510-630]",""
"Belarus","2011","660 [600-720]",""
"Belarus","2010","760 [700-820]",""
"Belarus","2009","820 [770-870]",""
"Belarus","2008","920 [850-980]",""
"Belarus","2007","980 [920-1000]",""
"Belarus","2006","1000 [950-1100]",""
"Belarus","2005","1100 [990-1100]",""
"Belarus","2004","1100 [1000-1200]",""
"Belarus","2003","1100 [1100-1200]",""
"Belarus","2002","1000 [990-1100]",""
"Belarus","2001","900 [860-950]",""
"Belarus","2000","800 [760-850]",""
"Belgium","2012","40 [39-40]",""
"Belgium","2011","41 [41-42]",""
"Belgium","2010","43 [43-44]",""
"Belgium","2009","35 [35-36]",""
"Belgium","2008","50 [49-51]",""
"Belgium","2007","49 [48-50]",""
"Belgium","2006","39 [39-40]",""
"Belgium","2005","62 [62-63]",""
"Belgium","2004","43 [42-43]",""
"Belgium","2003","53 [52-54]",""
"Belgium","2002","61 [60-62]",""
"Belgium","2001","71 [69-72]",""
"Belgium","2000","81 [80-83]",""
"Belize","2012","14 [14-14]",""
"Belize","2011","14 [14-14]",""
"Belize","2010","13 [13-13]",""
"Belize","2009","12 [12-12]",""
"Belize","2008","16 [15-16]",""
"Belize","2007","7.9 [7.9-8]",""
"Belize","2006","16 [16-16]",""
"Belize","2005","5.9 [5.8-5.9]",""
"Belize","2004","7.3 [7.2-7.5]",""
"Belize","2003","15 [15-16]",""
"Belize","2002","17 [17-17]",""
"Belize","2001","21 [21-22]",""
"Belize","2000","7.8 [7.8-7.9]",""
"Benin","2012","940 [420-1700]",""
"Benin","2011","910 [400-1600]",""
"Benin","2010","880 [390-1600]",""
"Benin","2009","880 [390-1600]",""
"Benin","2008","870 [390-1600]",""
"Benin","2007","840 [370-1500]",""
"Benin","2006","840 [370-1500]",""
"Benin","2005","870 [380-1600]",""
"Benin","2004","890 [390-1600]",""
"Benin","2003","900 [390-1600]",""
"Benin","2002","920 [390-1700]",""
"Benin","2001","930 [400-1700]",""
"Benin","2000","950 [400-1700]",""
"Bhutan","2012","100 [62-150]",""
"Bhutan","2011","110 [68-160]",""
"Bhutan","2010","110 [68-160]",""
"Bhutan","2009","190 [100-320]",""
"Bhutan","2008","250 [110-450]",""
"Bhutan","2007","250 [100-460]",""
"Bhutan","2006","320 [140-580]",""
"Bhutan","2005","350 [160-600]",""
"Bhutan","2004","360 [160-640]",""
"Bhutan","2003","370 [160-660]",""
"Bhutan","2002","370 [160-670]",""
"Bhutan","2001","420 [180-750]",""
"Bhutan","2000","410 [180-740]",""
"Bolivia (Plurinational State of)","2012","2200 [930-3900]",""
"Bolivia (Plurinational State of)","2011","2200 [930-4000]",""
"Bolivia (Plurinational State of)","2010","2200 [940-4000]",""
"Bolivia (Plurinational State of)","2009","2200 [940-4000]",""
"Bolivia (Plurinational State of)","2008","2200 [940-4100]",""
"Bolivia (Plurinational State of)","2007","2200 [950-4100]",""
"Bolivia (Plurinational State of)","2006","2300 [950-4100]",""
"Bolivia (Plurinational State of)","2005","2300 [950-4100]",""
"Bolivia (Plurinational State of)","2004","2300 [950-4100]",""
"Bolivia (Plurinational State of)","2003","2300 [970-4200]",""
"Bolivia (Plurinational State of)","2002","2300 [980-4200]",""
"Bolivia (Plurinational State of)","2001","2400 [990-4300]",""
"Bolivia (Plurinational State of)","2000","2400 [1000-4300]",""
"Bosnia and Herzegovina","2012","200 [180-220]",""
"Bosnia and Herzegovina","2011","200 [170-220]",""
"Bosnia and Herzegovina","2010","200 [180-220]",""
"Bosnia and Herzegovina","2009","200 [180-220]",""
"Bosnia and Herzegovina","2008","200 [190-230]",""
"Bosnia and Herzegovina","2007","210 [190-230]",""
"Bosnia and Herzegovina","2006","210 [190-230]",""
"Bosnia and Herzegovina","2005","210 [200-230]",""
"Bosnia and Herzegovina","2004","220 [200-240]",""
"Bosnia and Herzegovina","2003","220 [200-240]",""
"Bosnia and Herzegovina","2002","220 [210-240]",""
"Bosnia and Herzegovina","2001","220 [210-240]",""
"Bosnia and Herzegovina","2000","230 [210-240]",""
"Botswana","2012","420 [110-920]",""
"Botswana","2011","450 [120-1000]",""
"Botswana","2010","480 [120-1100]",""
"Botswana","2009","480 [100-1200]",""
"Botswana","2008","500 [120-1200]",""
"Botswana","2007","580 [170-1200]",""
"Botswana","2006","640 [210-1300]",""
"Botswana","2005","660 [190-1400]",""
"Botswana","2004","640 [130-1500]",""
"Botswana","2003","640 [90-1700]",""
"Botswana","2002","680 [63-2000]",""
"Botswana","2001","760 [50-2400]",""
"Botswana","2000","880 [46-2900]",""
"Brazil","2012","4900 [4600-5200]",""
"Brazil","2011","5100 [4800-5400]",""
"Brazil","2010","5400 [5000-5800]",""
"Brazil","2009","5400 [5100-5700]",""
"Brazil","2008","5700 [5200-6100]",""
"Brazil","2007","5600 [5100-6100]",""
"Brazil","2006","5700 [5200-6300]",""
"Brazil","2005","5800 [5200-6500]",""
"Brazil","2004","6500 [5600-7600]",""
"Brazil","2003","6600 [5600-7800]",""
"Brazil","2002","7000 [5800-8200]",""
"Brazil","2001","7400 [6100-8800]",""
"Brazil","2000","7700 [6300-9200]",""
"Brunei Darussalam","2012","13 [12-13]",""
"Brunei Darussalam","2011","12 [12-13]",""
"Brunei Darussalam","2010","12 [12-13]",""
"Brunei Darussalam","2009","13 [12-14]",""
"Brunei Darussalam","2008","9.5 [8.7-10]",""
"Brunei Darussalam","2007","9.6 [9.3-9.9]",""
"Brunei Darussalam","2006","10 [9.8-11]",""
"Brunei Darussalam","2005","11 [10-11]",""
