"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","20.8",""
"Afghanistan","2011","19.0",""
"Afghanistan","2010","20.9",""
"Afghanistan","2009","21.1",""
"Afghanistan","2008","19.1",""
"Afghanistan","2007","10.9",""
"Afghanistan","2006","12.4",""
"Afghanistan","2005","9.2",""
"Afghanistan","2004","10.5",""
"Afghanistan","2003","6.5",""
"Afghanistan","2002","6.7",""
"Albania","2012","47.6",""
"Albania","2011","47.9",""
"Albania","2010","45.4",""
"Albania","2009","47.1",""
"Albania","2008","43.7",""
"Albania","2007","40.8",""
"Albania","2006","43.9",""
"Albania","2005","44.3",""
"Albania","2004","42.0",""
"Albania","2003","35.9",""
"Albania","2002","34.8",""
"Albania","2001","38.2",""
"Albania","2000","36.1",""
"Algeria","2012","84.1",""
"Algeria","2011","82.0",""
"Algeria","2010","79.2",""
"Algeria","2009","79.4",""
"Algeria","2008","80.0",""
"Algeria","2007","77.1",""
"Algeria","2006","74.4",""
"Algeria","2005","72.7",""
"Algeria","2004","72.4",""
"Algeria","2003","77.8",""
"Algeria","2002","76.5",""
"Algeria","2001","77.4",""
"Algeria","2000","73.3",""
"Andorra","2012","76.6",""
"Andorra","2011","73.6",""
"Andorra","2010","73.5",""
"Andorra","2009","70.1",""
"Andorra","2008","69.9",""
"Andorra","2007","69.8",""
"Andorra","2006","70.4",""
"Andorra","2005","69.1",""
"Andorra","2004","69.2",""
"Andorra","2003","68.6",""
"Andorra","2002","68.8",""
"Andorra","2001","68.8",""
"Andorra","2000","64.8",""
"Angola","2012","62.2",""
"Angola","2011","62.6",""
"Angola","2010","60.5",""
"Angola","2009","61.0",""
"Angola","2008","70.7",""
"Angola","2007","65.4",""
"Angola","2006","66.5",""
"Angola","2005","50.0",""
"Angola","2004","47.9",""
"Angola","2003","42.9",""
"Angola","2002","42.2",""
"Angola","2001","48.3",""
"Angola","2000","49.5",""
"Antigua and Barbuda","2012","75.4",""
"Antigua and Barbuda","2011","73.8",""
"Antigua and Barbuda","2010","75.4",""
"Antigua and Barbuda","2009","73.3",""
"Antigua and Barbuda","2008","66.4",""
"Antigua and Barbuda","2007","64.6",""
"Antigua and Barbuda","2006","66.0",""
"Antigua and Barbuda","2005","65.6",""
"Antigua and Barbuda","2004","65.0",""
"Antigua and Barbuda","2003","67.0",""
"Antigua and Barbuda","2002","68.4",""
"Antigua and Barbuda","2001","67.3",""
"Antigua and Barbuda","2000","69.0",""
"Argentina","2012","69.2",""
"Argentina","2011","66.5",""
"Argentina","2010","64.0",""
"Argentina","2009","66.0",""
"Argentina","2008","61.8",""
"Argentina","2007","58.3",""
"Argentina","2006","54.7",""
"Argentina","2005","53.5",""
"Argentina","2004","51.5",""
"Argentina","2003","51.7",""
"Argentina","2002","53.6",""
"Argentina","2001","54.0",""
"Argentina","2000","53.9",""
"Armenia","2012","41.9",""
"Armenia","2011","52.2",""
"Armenia","2010","42.1",""
"Armenia","2009","44.2",""
"Armenia","2008","46.5",""
"Armenia","2007","48.7",""
"Armenia","2006","44.8",""
"Armenia","2005","36.3",""
"Armenia","2004","25.5",""
"Armenia","2003","27.3",""
"Armenia","2002","25.2",""
"Armenia","2001","26.8",""
"Armenia","2000","18.2",""
"Australia","2012","66.9",""
"Australia","2011","68.4",""
"Australia","2010","67.8",""
"Australia","2009","68.5",""
"Australia","2008","67.9",""
"Australia","2007","67.5",""
"Australia","2006","66.6",""
"Australia","2005","66.9",""
"Australia","2004","66.7",""
"Australia","2003","66.1",""
"Australia","2002","66.9",""
"Australia","2001","66.3",""
"Australia","2000","66.8",""
"Austria","2012","75.6",""
"Austria","2011","75.3",""
"Austria","2010","74.7",""
"Austria","2009","76.2",""
"Austria","2008","76.3",""
"Austria","2007","75.8",""
"Austria","2006","75.7",""
"Austria","2005","75.3",""
"Austria","2004","74.7",""
"Austria","2003","74.5",""
"Austria","2002","74.8",""
"Austria","2001","75.1",""
"Austria","2000","75.6",""
"Azerbaijan","2012","22.8",""
"Azerbaijan","2011","21.6",""
"Azerbaijan","2010","21.9",""
"Azerbaijan","2009","22.9",""
"Azerbaijan","2008","18.9",""
"Azerbaijan","2007","19.2",""
"Azerbaijan","2006","14.0",""
"Azerbaijan","2005","11.2",""
"Azerbaijan","2004","13.0",""
"Azerbaijan","2003","12.6",""
"Azerbaijan","2002","17.7",""
"Azerbaijan","2001","18.9",""
"Azerbaijan","2000","18.6",""
"Bahamas","2012","46.1",""
"Bahamas","2011","45.6",""
"Bahamas","2010","46.7",""
"Bahamas","2009","47.5",""
"Bahamas","2008","45.9",""
"Bahamas","2007","45.0",""
"Bahamas","2006","47.2",""
"Bahamas","2005","44.4",""
"Bahamas","2004","47.8",""
"Bahamas","2003","47.1",""
"Bahamas","2002","47.8",""
"Bahamas","2001","47.9",""
"Bahamas","2000","48.1",""
"Bahrain","2012","71.9",""
"Bahrain","2011","69.9",""
"Bahrain","2010","71.3",""
"Bahrain","2009","72.6",""
"Bahrain","2008","73.3",""
"Bahrain","2007","71.0",""
"Bahrain","2006","69.1",""
"Bahrain","2005","68.3",""
"Bahrain","2004","67.4",""
"Bahrain","2003","66.9",""
"Bahrain","2002","66.4",""
"Bahrain","2001","66.7",""
"Bahrain","2000","67.3",""
"Bangladesh","2012","34.4",""
"Bangladesh","2011","38.2",""
"Bangladesh","2010","36.5",""
"Bangladesh","2009","36.6",""
"Bangladesh","2008","35.6",""
"Bangladesh","2007","34.4",""
"Bangladesh","2006","36.5",""
"Bangladesh","2005","34.9",""
"Bangladesh","2004","38.8",""
"Bangladesh","2003","37.7",""
"Bangladesh","2002","39.7",""
"Bangladesh","2001","39.9",""
