Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,BGR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,3507198891,3646131848,4846429934,6825720113,9337108133,8697081082,11756001867,17544560020,17930378434,18522121029,17223204559,17215731650,20507099695,19883353048,20129698078,22153050489,25176065816,28375830876,28711039865,27901750799,37860001349,39187742752,40989114450
Bahrain,BHR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1605306698,1725453561,1777159820,1840973998,2006203185,2051923932,2895643505,4342187750,4050919099,4008299045,5299463737,4774194829,5454261307,5527718440,6229406003,3546207932,2611989314,2823123079,2334278370,3902650742,2523073657,4993195963,
"Bahamas, The",BHS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,349644583.2,319252843.7,380645829.4,491108558.2,674401942.8,586297936.2,461331327.1,464482895.4,567909087.7,1009823820,1044153800,1070217425,846941347.8,807408405,874337064.8,895475136.3,1001933945,1413972941,1345344674,1757782754,2382077961,2432716261,
Bosnia and Herzegovina,BIH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,496626475.4,1233132927,1336266925,1813519793,2427266571,2547614647,3671010361,5041780929,4479825860,4575111867,4411161780,4247540639,4389987071,4984005031,4860208933,4790984891,5136418168,6473729519,6808433501,7207699940,8707117939,9475044026,8761700726
Belarus,BLR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,350495841.3,390676493.5,687361275.1,636538852.3,836974642.7,1341819427,1386410521,4178575862,3063153365,5640214197,5025440612,7863285897,8094992776,6654216940,5067715364,4172797260,4907608003,7315236709,7157559690,9393817369,7468343228,8424740406,
Belize,BLZ,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,122898988.2,112041498.8,114506518.2,84684001.23,48253483.79,71357473.86,113721681,108512535,166162897.2,213683331.6,217999757.4,237114250.4,288924768.8,402752296.2,486876774.5,437151657.9,376735092.7,312140148.2,294468435.1,277578761.1,348090076,420102782.5,482145605.5
Bermuda,BMU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1184108228,1146023735,892729137.8,1096941370,1271422925,1794984953,3193982720,5313631986,7719766413,8574579206,9730683979,11994673115,13924289443,14429068711,15129277524,13049620686,10053627485,10245969450,8929614183,6455449942,5247234669,4730168840,3752070997
Brazil,BRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,33015297296,35866445530,37832146718,49297286966,52934865186,53799284977,85842861115,1.80334E+11,1.93783E+11,2.38539E+11,2.88575E+11,3.5201E+11,3.73161E+11,3.58816E+11,3.6357E+11,3.56465E+11,3.64984E+11,3.73956E+11,3.7471E+11,3.56886E+11,3.55614E+11,3.6221E+11,3.24673E+11
Barbados,BRB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,472693479.4,690373664,668514868.7,737943173,579857104.1,603465289.1,636089800.4,839429792.7,738527014.8,871145394,833540950.4,812596875.6,839722748,680957827.2,632258680.1,553604323.9,431758242,265841633.1,533906813,772118649.5,1358013876,1672884485,
Brunei Darussalam,BRN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,408340574.4,381821178.4,448994000.5,474743404,488889689.1,491885270.1,513570258.7,667491396.6,751159763.9,1357268957,1563162507,2583674788,3449167917,3575273902,3648818757,3366322585,3487053369,3488124300,3407126455,4272696958,3997356505,4982141346,
Bhutan,BTN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,317632400.6,323362186.7,354949465.1,366596385.8,398620011.7,467426180.8,545324764.6,699049465.4,764803120.5,890893416.6,1002139102,789643751.6,954678385.1,991306676.5,1245086667,1103179129,1127277332,1206238191,987247035.6,1238371618,1426914818,976260349.6,
