Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bermuda,BMU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5892765188,4794042372,5107005796,5864138346,6284467792,6967641266,6255767964,5064781762,5701040188,5780325836,5776504656,6181999153,6617099948,8141786768,8884014490,9895204080,10994252972,12990057752,13248377783,14301150537,15420129054,15964123524,
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2.42512E+11,2.2996E+11,2.31944E+11,2.35908E+11,2.20694E+11,1.88365E+11,1.94303E+11,2.38444E+11,2.62957E+11,2.81651E+11,3.52364E+11,4.04046E+11,4.40497E+11,4.83735E+11,5.5692E+11,5.43397E+11,5.43257E+11,5.43E+11,5.57743E+11,5.6869E+11,5.49263E+11,6.06485E+11,
Barbados,BRB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,211571982.8,272712510.2,386049931.1,493626169.2,601316819.9,656602174.2,721112613.6,801238273.2,693075804.2,786548880.3,934629272.1,1070492250,1449649027,1528150561,1841155641,2011104023,2289670352,2607950877,2551977085,2703804732,3036756638,3069446355,
Botswana,BWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,452434627.4,400352880.4,491350071,514126449.3,515796292.8,460538960.4,364731487.2,425189546.8,448508779.9,1643300883,1806938427,2395188969,2526373031,2388279492,2499532552,2236640614,2126448972,1741386787,1782037130,1565096394,1597427935,1981527906,
Central African Republic,CAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,869008795.3,834810718.1,1083576141,1064243826,1116732592,1044778987,1049101554,1029858390,998708752.1,550619216,634315034.6,571183516.3,577205381.3,597631051.4,661613485.4,690626853.7,695731319.7,723093116,785603519.9,849442819.7,898730121.1,1115463252,
Canada,CAN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.45907E+11,1.84315E+11,1.85466E+11,2.07181E+11,2.47359E+11,2.85857E+11,3.2642E+11,3.77749E+11,3.86423E+11,4.54496E+11,7.42737E+11,1.05421E+12,1.14816E+12,1.48048E+12,1.77838E+12,1.33377E+12,1.4139E+12,1.70459E+12,1.96156E+12,2.11416E+12,2.32675E+12,2.7025E+12,
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12059905376,11620368634,11708673980,11680518563,13178855340,12010684932,13644008875,14385487798,12967578598,14895852333,11703427490,12791036140,9543206492,9855297626,9805804584,11387731267,11457186654,13449134231,16197579095,19831484538,25107042092,29752406900,
Cameroon,CMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10561281361,9748844313,10285903206,11408147626,10855782708,7700089818,3418558776,3085552121,2835553588,3237320907,3190178369,3094521348,3887899905,5177990160,5765541169,7304904667,7890233642,10073207230,10945885120,12872318612,14783909843,16003268414,
"Congo, Dem. Rep.",COD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11804397526,11612181087,10051613856,11433512788,11524216857,10683990345,11326304419,12459468773,13196407090,14093038536,7236642482,6673720855,6915749626,7532472906,7259886984,7105954207,6799565632,6919569442,6849039894,7568865790,8161220163,10288150919,
"Congo, Rep.",COG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4675949722,4820677199,5012243895,5537629589,6834196169,6294723996,6685623800,5281147795,5237381716,5051234771,2793286602,3188813926,3582352798,4198090944,4782850141,4920000602,4811917829,5463696504,5183247892,5353424818,5305827439,6965719977,
Colombia,COL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,34329248551,36614196486,33581481522,37324166936,38237909040,37497341480,38621303305,44323265170,47039916554,53678222227,64432098617,76162726605,79246355565,92639778558,1.04603E+11,1.13363E+11,1.2081E+11,1.26055E+11,1.33251E+11,1.38907E+11,1.55696E+11,1.71993E+11,
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,232285377.4,242747448.1,270536977.6,289991668.2,304262777.8,288623246,293423707,287667291,276201185.1,286766514,278373937.8,275725988.2,252320769.6,147531305,141753606.4,130562671.9,179966571.8,186606215,244985939.8,264213198.6,301131309.5,336671453.8,
Cabo Verde,CPV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,319703769.2,345641178.3,387894289.8,441401882.3,464179206.7,477481514.4,524173293.2,580579758.5,626140970.8,724582325.6,884596455.5,1041231867,1248578671,1492658589,1550676371,1550185095,1551733556,1789970313,1767451778,1821219111,2071455507,2059769906,
Costa Rica,CRI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4692408664,4886538322,5070865565,5650888483,5710643832,6485430912,6993562814,8410942484,8838788690,7760168637,8154409880,10271452442,14310369459,17134572925,19722088699,23588779506,25562670955,25615909361,28369279758,29800758229,31269331815,33787823209,
