,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gambia, The",Units,,12.08,13.08,15.42,26.50,30.75,22.50,14.14,13.46,13.32,14.33,13.16,11.81,12.46,...,...,...,...,10.72,8.94,8.51,8.14,3.40,...
,Georgia,Units,,...,29.93,43.42,44.26,19.16,12.57,...,...,...,5.98,9.55,9.68,6.76,5.16,6.17,8.78,8.39,7.30,7.25,7.22,8.55,8.88,10.18
,Ghana,Units,,36.28,40.96,25.11,27.25,16.57,14.89,9.95,9.66,16.96,23.76,13.28,10.41,17.79,20.82,22.57,23.61,20.94,13.63,13.10,14.19,13.70,12.42,22.16
,Greece,Units,,6.22,4.08,3.50,2.34,2.27,2.33,3.44,4.45,4.81,1.62,1.35,2.01,1.11,0.54,0.48,0.17,-0.03,-0.13,1.13,0.45,0.06,-0.31,1.33
,Grenada,Units,,...,...,...,...,...,...,...,...,...,...,6.25,5.91,6.00,6.00,6.00,5.87,5.27,3.66,3.66,...,...,...,...
,Guinea,Units,,14.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Guyana,Units,,9.88,7.78,4.94,3.04,3.62,3.79,3.95,3.94,3.99,4.31,3.87,2.48,1.73,1.32,1.57,1.84,1.85,1.55,1.54,1.54,1.54,1.54,...
,Hungary,Units,,11.03,10.79,8.91,8.22,11.32,6.95,6.87,7.67,8.90,8.48,5.37,6.02,6.90,4.18,2.17,1.16,0.73,0.03,0.04,0.00,0.46,0.87,7.93
,Iceland,Units,,11.12,11.03,8.01,4.93,6.04,8.80,13.41,15.13,18.31,11.38,6.65,4.28,5.56,6.19,6.03,5.93,6.28,4.98,4.72,4.39,1.99,1.79,5.13
,Iraq,Units,,...,...,6.00,6.35,5.33,7.07,9.49,21.00,17.67,7.43,8.64,9.36,6.15,5.21,7.60,...,...,...,...,...,...,...,...
,Israel,Units,,8.81,6.50,7.38,7.00,4.78,4.34,5.54,4.33,3.90,1.39,2.19,3.05,2.23,1.31,0.54,0.12,0.12,0.12,0.21,0.26,0.07,0.01,1.67
,Italy,Units,,4.53,4.05,3.26,2.19,2.08,2.17,3.18,4.04,3.76,0.96,1.13,2.79,1.90,0.86,0.42,0.05,-0.17,-0.34,0.12,-0.06,-0.20,-0.49,0.88
,Jamaica,Units,,18.24,16.71,15.54,25.94,15.47,13.39,12.79,12.56,15.89,19.95,9.26,6.59,6.62,7.29,8.29,6.59,5.95,5.79,2.36,1.91,1.28,1.99,7.32
,Japan,Units,,0.23,0.07,0.01,0.01,0.01,0.00,0.25,0.58,0.56,0.18,0.12,0.10,0.10,0.07,0.03,-0.01,-0.23,-0.21,...,...,...,...,...
,Kenya,Units,,12.07,12.73,8.94,3.73,2.96,8.44,6.81,6.80,7.70,7.38,3.60,8.72,12.58,8.93,8.93,10.93,8.51,8.37,7.76,6.89,6.85,6.96,...
,"Kosovo, Rep. of",Units,,...,...,...,...,...,...,...,...,...,...,...,...,2.68,1.12,1.44,1.46,0.35,0.23,0.47,...,...,...,...
,Kyrgyz Rep.,Units,,61.88,36.59,19.48,13.83,9.48,8.44,9.12,7.43,14.78,12.74,10.39,15.59,9.91,8.52,9.46,12.76,9.51,5.04,5.59,5.07,5.87,7.08,...
,Lao People's Dem. Rep.,Units,,29.94,22.70,21.41,24.87,20.37,18.61,18.34,18.36,12.26,9.52,7.97,...,...,...,...,...,...,...,...,...,...,...,...
,Lebanon,Units,,11.18,11.18,10.90,6.46,5.25,5.22,5.22,5.22,5.21,4.91,4.07,3.93,4.35,4.44,4.44,4.44,4.44,4.44,4.44,4.44,...,...,...
,"Lesotho, Kingdom of",Units,,9.06,9.49,11.34,11.96,8.52,7.23,6.87,7.81,9.75,7.75,6.24,5.35,5.46,5.30,5.99,6.29,6.70,6.41,6.47,6.44,4.26,3.39,5.17
,Libya,Units,,5.50,5.50,5.50,5.50,5.50,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Lithuania,Units,,6.78,...,...,...,2.10,2.25,2.82,4.13,6.49,7.33,...,...,2.03,0.44,...,...,...,...,...,...,...,...,...
,"Madagascar, Rep. of",Units,,14.45,10.28,10.15,11.94,12.95,18.84,21.16,11.84,8.81,7.62,9.33,9.58,6.92,6.67,8.43,8.96,8.38,8.74,7.63,6.63,6.91,5.69,5.97
,Malawi,Units,,39.52,42.41,41.75,39.27,28.58,24.40,19.27,13.95,11.29,10.15,7.16,6.56,14.33,29.56,20.66,23.90,27.60,19.02,13.61,8.74,8.50,9.72,10.58
,Malaysia,Units,,2.86,2.79,2.73,2.79,2.40,2.48,3.23,3.43,3.39,2.05,2.58,2.92,3.04,3.00,3.12,3.11,2.76,...,...,...,...,...,...
,Maldives,Units,,...,...,...,...,...,...,5.00,5.50,6.00,6.00,4.90,5.44,7.26,8.94,8.18,6.83,3.50,3.50,3.50,3.50,3.50,3.50,3.50
,Malta,Units,,4.89,4.93,4.03,3.29,2.94,3.18,3.49,4.27,4.44,1.78,0.82,1.23,0.99,0.58,0.26,...,...,...,...,...,...,...,...
,"Mauritania, Islamic Rep. of",Units,,12.05,9.73,5.89,5.01,6.64,10.58,11.92,11.39,10.70,11.00,8.44,0.06,0.03,2.59,3.47,3.66,4.33,4.67,...,...,...,...,...
,Mauritius,Units,,...,10.80,10.35,9.01,5.61,6.44,8.47,10.95,8.31,5.25,3.83,3.96,3.63,2.86,2.37,2.14,2.68,2.21,3.46,3.02,1.06,0.67,1.36
,Mexico,Units,,15.24,11.31,7.09,6.23,6.82,9.20,7.19,7.19,7.68,5.43,4.40,4.24,4.24,3.75,3.00,2.98,4.15,6.69,7.62,7.84,5.33,4.42,7.63
,"Moldova, Rep. of",Units,,24.63,15.01,5.98,15.77,12.29,3.75,7.43,13.52,18.89,11.82,7.13,11.71,6.26,5.57,6.76,20.58,15.42,6.81,4.77,6.24,5.19,5.76,17.98
,Mongolia,Units,,...,...,...,...,...,...,...,...,...,...,...,...,12.89,9.56,12.20,14.52,15.01,13.85,...,...,...,...,...
,Montenegro,Units,,...,...,...,...,10.39,6.03,1.28,0.52,0.49,3.18,3.20,2.66,4.73,3.25,1.35,0.64,1.96,2.35,0.53,0.53,0.90,0.90,1.39
,"Mozambique, Rep. of",Units,,16.97,24.77,29.55,15.31,12.37,9.10,15.05,15.16,13.76,10.59,11.99,15.24,5.27,4.13,5.33,5.87,15.27,25.27,16.24,12.73,9.37,12.79,15.46
,Namibia,Units,,10.26,9.29,11.00,10.51,7.78,7.09,7.26,8.59,9.64,8.19,6.46,5.62,5.54,5.42,5.81,6.49,6.59,8.37,7.99,7.62,5.24,4.57,6.44
,Nepal,Units,,5.29,4.71,4.34,3.55,1.95,2.97,2.73,2.68,5.03,5.10,6.91,5.74,0.72,1.65,0.22,0.74,1.18,1.57,3.65,3.32,1.88,3.06,8.76
,Netherlands Antilles,Units,,6.15,6.15,5.15,2.80,3.86,3.52,5.39,6.04,4.40,1.35,...,...,...,...,...,...,...,...,...,...,...,...,...
,New Zealand,Units,,6.39,5.56,5.52,5.21,5.85,6.52,7.05,7.55,7.01,2.83,2.78,2.55,2.46,2.39,3.24,2.99,2.04,1.76,1.71,1.29,0.35,0.39,2.68
,Nigeria,Units,,15.50,17.50,19.03,14.79,14.34,7.83,8.88,6.82,8.20,3.79,3.85,9.70,13.64,10.85,10.54,9.39,10.14,13.41,10.08,9.64,1.63,2.17,...
,Pakistan,Units,,8.38,10.71,6.08,1.87,2.49,7.18,8.54,8.99,11.37,12.52,12.55,13.12,11.00,9.32,9.89,7.12,5.99,6.00,...,13.29,8.65,7.59,...
,Papua New Guinea,Units,,17.00,12.36,10.93,18.69,8.85,3.81,3.50,4.67,6.19,7.30,4.64,4.14,2.74,2.15,3.97,5.27,4.55,4.73,4.72,6.13,7.17,4.34,2.76
,Philippines,Units,,9.91,9.73,5.49,5.87,7.32,6.13,5.29,3.38,5.16,4.19,3.51,1.34,1.50,0.29,1.22,1.74,1.50,2.12,3.61,4.32,1.98,1.11,2.20
,"Poland, Rep. of",Units,,17.42,14.73,8.22,5.38,6.60,4.90,4.19,4.70,6.27,4.56,3.93,4.46,4.51,3.50,...,...,1.34,1.53,...,...,...,...,...
,Romania,Units,,51.86,42.18,27.03,14.68,12.79,7.48,...,7.11,10.42,10.90,7.21,7.32,6.27,4.89,3.86,2.46,2.42,2.53,4.27,4.18,3.57,3.50,7.53
,Rwanda,Units,,10.44,8.89,9.32,11.18,12.52,...,...,...,...,0.81,6.46,6.38,9.41,8.93,4.42,3.32,6.04,6.91,5.09,5.22,5.55,6.33,6.05
,Saudi Arabia,Units,,...,...,...,...,...,...,...,...,...,...,0.38,0.33,0.39,0.49,0.52,0.47,1.12,1.15,1.55,...,...,...,...
,"Serbia, Rep. of",Units,,...,...,...,18.20,21.31,17.22,13.46,6.48,5.15,13.73,11.00,12.70,13.08,9.72,7.95,5.86,3.71,3.06,...,...,1.80,...,3.90
,Seychelles,Units,,5.00,5.00,5.00,4.61,3.17,3.34,3.70,3.92,7.07,12.97,3.04,4.23,10.74,3.93,3.64,9.08,6.43,5.47,5.19,5.52,4.70,3.75,1.12
,Sierra Leone,Units,,26.22,13.74,15.15,15.67,26.14,22.98,17.71,18.41,15.48,10.47,17.21,24.45,22.40,8.05,2.37,2.06,6.28,9.96,7.95,8.44,8.01,1.71,...
,Singapore,Units,,2.21,1.66,0.81,0.65,0.96,2.06,2.96,2.35,0.91,0.34,0.34,0.29,0.27,0.25,...,...,...,...,...,...,...,...,...
,"Slovenia, Rep. of",Units,,10.94,10.88,8.73,6.53,4.17,3.66,3.30,3.90,3.88,1.14,0.55,1.09,1.10,0.49,...,...,...,...,...,...,...,...,...
,Solomon Islands,Units,,...,...,7.62,5.92,6.07,4.59,3.41,3.17,3.20,4.00,3.71,2.53,1.42,0.40,0.23,0.47,0.46,0.46,0.47,0.49,0.49,0.49,0.49
,South Africa,Units,,10.11,9.68,11.16,10.67,7.53,6.91,7.34,9.12,10.81,7.85,6.42,5.49,5.29,5.08,5.80,6.05,7.23,7.33,7.16,7.08,4.55,3.79,5.15
,"South Sudan, Rep. of",Units,,...,...,...,...,...,...,...,...,...,...,...,...,3.00,3.00,3.00,3.00,9.68,20.19,20.41,20.41,20.41,20.41,20.41
,Spain,Units,,4.61,3.92,3.34,2.21,2.17,2.19,3.26,4.07,3.71,1.00,1.69,3.04,2.66,1.17,0.39,0.05,-0.16,-0.34,-0.38,-0.41,-0.41,-0.55,0.78
,Sri Lanka,Units,,...,13.70,12.47,8.09,7.71,9.03,10.98,16.60,18.91,12.93,8.57,7.63,12.10,10.46,6.60,6.65,10.00,10.06,9.78,9.09,...,...,...
,St. Kitts and Nevis,Units,,6.50,7.50,7.50,7.17,7.00,7.00,7.00,7.00,7.00,6.85,6.75,6.75,6.75,6.75,...,...,...,...,...,...,...,...,...
,St. Lucia,Units,,...,...,...,...,...,...,...,5.65,5.60,5.20,4.50,4.53,5.13,6.00,5.35,3.56,3.33,1.98,1.98,...,...,...,...
,St. Vincent and the Grenadines,Units,,6.50,7.00,7.00,5.73,4.60,4.85,5.62,5.75,5.56,5.67,4.94,4.16,3.96,3.44,3.26,2.93,3.05,2.86,...,...,...,...,...
,Sweden,Units,,3.95,4.00,4.07,3.03,2.11,1.72,2.33,3.55,3.91,0.40,0.50,1.65,1.25,0.93,0.42,-0.29,-0.66,-0.66,...,...,...,...,...
,"Tajikistan, Rep. of",Units,,...,...,4.50,...,...,...,...,...,...,7.00,6.72,7.40,4.82,0.83,0.40,0.76,0.99,0.99,...,...,...,...,...
,"Tanzania, United Rep. of",Units,,9.78,4.21,3.53,6.26,8.35,10.67,11.64,13.38,8.11,7.14,4.75,8.31,13.65,14.22,13.56,12.91,16.17,11.10,6.43,7.71,4.42,...,...
,Thailand,Units,,...,2.29,1.92,1.35,1.30,2.67,4.66,3.48,3.19,1.24,1.44,2.87,2.97,2.57,2.07,1.61,1.41,1.33,1.30,1.55,0.60,0.41,0.67
,Trinidad and Tobago,Units,,10.56,8.55,4.83,4.71,4.77,4.86,6.07,6.91,7.01,2.69,0.85,0.53,0.37,0.16,0.10,0.47,1.16,1.33,1.50,1.87,1.25,0.43,0.65
,Uganda,Units,,13.19,11.00,5.85,16.87,9.02,8.50,8.12,9.08,9.08,7.39,5.01,14.61,15.70,9.92,10.23,15.83,15.88,10.60,9.81,...,...,...,...
,United Kingdom,Units,,5.80,4.76,3.86,3.55,4.43,4.55,4.65,5.52,4.30,0.53,0.50,0.49,0.31,0.30,0.38,0.44,0.32,...,...,...,...,...,...
,United States,Units,,5.84,3.45,1.61,1.01,1.37,3.15,4.72,4.41,1.46,0.16,0.13,0.06,0.09,0.06,0.04,0.05,0.32,0.93,1.94,2.07,0.38,0.04,...
,Uruguay,Units,,...,...,102.92,32.53,14.75,4.14,4.54,7.11,10.05,11.87,9.06,8.77,9.40,11.37,14.36,13.47,13.50,10.41,9.38,9.26,8.47,6.26,9.98
,"Uzbekistan, Rep. of",Units,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14.41,13.20,13.88,13.29,16.36
,Vietnam,Units,,...,...,...,...,...,...,...,...,...,...,...,...,...,6.64,5.09,4.23,...,...,...,...,...,...,...
,"Yemen, Rep. of",Units,,14.16,13.25,11.55,12.92,13.84,14.89,15.65,15.86,15.20,13.47,20.92,22.87,22.17,16.66,...,...,...,...,...,...,...,...,...
,Zambia,Units,,31.37,44.28,34.54,29.97,12.60,16.32,10.37,11.95,13.47,15.39,6.28,9.55,10.13,11.45,15.36,19.02,24.28,14.49,14.86,21.13,20.80,...,...
