Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,BOL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,141260000,220140000,201440000,256230000,233660000,236570000,299090000,105580000,134530000,153930000,128130000,110560000,117360000,96710000,93330000,79400000,74910000,71910000,71080000,54400000,56080000,
Brazil,BRA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,179290000,162000000,170800000,213470000,194660000,191600000,204170000,246900000,235440000,230900000,239010000,213280000,241830000,235930000,237620000,189580000,200840000,201990000,180680000,189930000,196680000,
Barbados,BRB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,1220000,3260000,2670000,2180000,2310000,4910000,2710000,3280000,1070000,2210000,1850000,,,,,,,,,,,
Brunei Darussalam,BRN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,760000,340000,2000000,470000,570000,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,21750000,17080000,19590000,22740000,21660000,21190000,21150000,20000000,14030000,15870000,18800000,20780000,26680000,26280000,27240000,23010000,20750000,24270000,18210000,18350000,12840000,
Botswana,BWA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,18150000,17550000,38310000,27170000,33080000,30210000,36500000,22060000,16750000,11990000,20840000,19740000,19220000,16790000,12750000,12270000,17190000,13430000,12770000,14320000,10490000,
Central African Republic,CAF,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,21570000,20960000,21210000,23510000,32300000,36420000,34690000,37660000,21990000,16420000,17730000,12720000,12840000,9490000,78320000,24010000,25740000,14840000,22650000,24330000,39020000,
Canada,CAN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,55510000,55840000,45840000,57040000,64470000,59050000,50960000,45980000,61950000,68740000,65740000,55560000,64950000,58860000,56420000,41510000,45810000,47010000,,,,
China,CHN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,536790000,513090000,564540000,788610000,878140000,857650000,973500000,948260000,969550000,929540000,959150000,834350000,678710000,557750000,552470000,476440000,478550000,504420000,515520000,562390000,572820000,
Cote d'Ivoire,CIV,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,72310000,68750000,76860000,75940000,77040000,66620000,130210000,59910000,58500000,58730000,53640000,26080000,39230000,58790000,66710000,60720000,64850000,67470000,92950000,87070000,102600000,
Cameroon,CMR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,93130000,105060000,114130000,137780000,151320000,149180000,178770000,198200000,161160000,153610000,155100000,130910000,165150000,153460000,158860000,122800000,125190000,131760000,144670000,146920000,144160000,
"Congo, Dem. Rep.",COD,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,47750000,52980000,79310000,124640000,139150000,184400000,178250000,115280000,163680000,172160000,228320000,231800000,193510000,294150000,302070000,218020000,196510000,158750000,112910000,130060000,159450000,
"Congo, Rep.",COG,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,19150000,19060000,24630000,32130000,32420000,31520000,30180000,46830000,28960000,26680000,22000000,11710000,24250000,25260000,25680000,20630000,21850000,19170000,24710000,27210000,26770000,
Colombia,COL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,181580000,357720000,409070000,762980000,470540000,525760000,775970000,228850000,257870000,273770000,141220000,106800000,127190000,121310000,137010000,122080000,160460000,164570000,159540000,172380000,159150000,
Comoros,COM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,8360000,8330000,10320000,11980000,12230000,12600000,13290000,16570000,11920000,11040000,10530000,7070000,15620000,17530000,18700000,18700000,16540000,17100000,17750000,15850000,16000000,
