Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,
Bosnia and Herzegovina,BIH,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,3709692.303,4293126.432,4772375.147,12390550.89,15124105.31,12827695.8,13158734.52,17531852.25,13375078.41,12892952.71,13046125.12,11614987.26,26777680.26,22980042.33,12353009.68,1948671.528
Belarus,BLR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,900000,500000,800000,1400000,1700000,3100000,5900000,3100000,4700000,9500000,8500000,22800000,22900000,27700000,39100000,22300000,27500000,35100000,66100000,101100000,124600000,134695810
Belize,BLZ,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,0,0,0,0,0,0,0,0,0,0,2500000,,,,,,0,0,0,0,0
Bermuda,BMU,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,230000,55773.40506,109679.9642,25642.8863,3272.417824,8384,8589.408,9281.910864,0,0,125000,387998,301663,167500,167458.125,170048.2194
Bolivia,BOL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1600000,1640000,1800000,1690000,1840000,1920000,1780000,2005000,2250000,2500000,2804000,7178601.88,15205383.63,17905865.06,18938481.88,22344051.61,24183112.91,24482350.04,10110622.58,6959047.871,5027557.362,1923635.49
Brazil,BRA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,125190000,112092000,100258000,108116000,112695000,101660000,150307000,319410000,465444000,433807800,189605958.5,300800012.9,276418446.3,368127587.4,375097938.4,581080520.4,650833689.7,642157301.2,825475487.4,641114074.4,634291803.2,705261777.5
Barbados,BRB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,12750000,12800000,16500000,850000,2305743.605,1701685.19,4187321.57,393011,3886373,2524058.82,3431865.74,10242263.94,6945565.771,33550842.16,24490204.42,17892108.85,14370402.58,14000000,,,,
Brunei Darussalam,BRN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Bhutan,BTN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,201162.0461,101334.8565,159089.5838,14727.12717,13001.22064,12422.50042,14886.99497,15779.25019,6408.720696,13088.21977,37225.33592,22012.51734,11086.66248,4857.501179,13543.06545,9571.553162
Botswana,BWA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,0,5135.740474,459876.0758,3367903.563,5400703.05,461230.2731,317307.8572,233065.6734,485552.2827,85757.0647,130345.9722,13970.00546,155416.2821,93701.31468,187463.3849,121558.6698,589496.9839,493884.4101,292347.1414,1322084.677,986320.2559,482790.7102
Central African Republic,CAF,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2323901618,2532923682,2575964576,3005417256,3183299993,2873468639,3359028698,3835550664,4129666784,3604954463,2813939869,3348091955,3931432400,4569255358,4763593321,4087280234,4514595457,4887062282,6317995391,6785716660,7217749442,8590913926
Central Europe and the Baltics,CEB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,292250161.1,341881508.3,571896024.8,494910786,676180804.6,1083194644,731834242.8,1169508917,2699604351,2377997344,3164829290,3116009044,3094374577,3084578466,3264393212,2758269382,3011995671,3015056734,3416845981,3245173069,3508960760,4703358279
