,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,Error during exception handling: Attempting to throw non-initialized exception,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denmark,Units,,4.75,3.25,2.86,2.00,2.00,2.25,3.50,4.00,3.50,1.00,0.75,0.75,-,-,-,-,-,-,-,-,-,-0.60,1.75
,Dominican Rep.,Units,,...,...,...,...,7.00,10.00,8.00,7.00,9.50,4.00,5.00,6.75,5.00,6.25,6.25,5.00,5.50,5.25,5.50,4.50,3.00,3.50,8.50
,"Egypt, Arab Rep. of",Units,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15.25,19.25,17.25,12.75,8.75,8.75,16.75
,Euro Area,Units,,4.75,3.25,2.75,2.00,2.00,2.25,3.50,4.00,2.50,1.00,1.00,1.00,...,...,0.30,...,...,...,...,...,...,...,...
,"Fiji, Rep. of",Units,,...,...,1.25,1.25,1.75,2.25,4.25,...,...,...,...,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.25,0.25
,"Gambia, The",Units,,15.00,18.00,23.00,34.00,33.00,19.00,14.00,15.00,16.00,14.00,15.00,14.00,12.00,20.00,22.00,23.00,23.00,15.00,13.50,12.50,10.00,10.00,...
,Georgia,Units,,...,...,...,...,...,...,...,...,8.00,5.00,7.50,6.75,5.25,3.75,4.00,8.00,6.50,7.25,7.00,9.00,8.00,...,11.00
,Ghana,Units,,27.00,27.00,24.50,21.50,18.50,15.50,12.50,13.50,17.00,18.00,13.50,12.50,15.00,16.00,21.00,26.00,25.50,20.00,17.00,16.00,14.50,14.50,27.00
,Guatemala,Units,,...,...,...,...,...,4.25,5.00,6.50,7.25,4.50,4.50,5.50,5.00,5.00,4.00,3.00,3.00,2.75,2.75,2.75,1.75,1.75,3.75
,Guinea-Bissau,Units,,...,5.00,5.00,3.50,3.00,3.00,3.25,3.25,3.75,3.25,3.25,3.25,3.00,2.50,2.50,2.50,2.50,2.50,...,...,...,...,...
,Guyana,Units,,11.75,8.75,6.25,5.50,6.00,6.00,6.75,6.50,6.75,6.75,6.25,5.50,5.25,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,...
,Honduras,Units,,...,...,...,...,...,...,6.00,7.50,7.75,4.50,4.50,5.50,7.00,7.00,7.00,6.25,5.50,5.50,5.50,5.50,3.00,3.00,3.00
,Hungary,Units,,11.00,9.75,8.50,12.50,9.50,6.00,8.00,7.50,10.00,6.25,5.75,7.00,5.75,3.00,2.10,1.35,0.90,0.90,0.90,0.90,0.60,2.40,...
,Iceland,Units,,...,...,5.63,5.16,7.92,9.97,13.30,13.75,18.00,9.13,3.88,4.13,5.38,5.38,4.50,5.75,5.00,4.25,4.50,3.00,0.75,2.00,...
,India,Units,,...,...,...,...,...,6.25,7.25,7.75,6.50,4.75,6.25,8.50,8.00,7.50,8.00,6.75,6.25,...,...,...,...,...,...
,Indonesia,Units,,14.53,...,...,...,...,...,9.75,8.00,9.25,6.50,6.50,6.00,5.75,7.50,7.75,7.50,4.75,4.25,6.00,5.00,3.75,3.50,5.50
,Iraq,Units,,...,...,...,...,6.00,7.00,16.00,20.00,15.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,4.00,4.00,...,...,...,...,...
,Israel,Units,,8.20,5.66,9.10,5.20,3.90,4.50,5.00,4.00,2.50,1.00,2.00,2.75,2.00,1.00,0.25,0.10,0.10,0.10,0.25,0.25,0.10,0.10,3.25
,Jamaica,Units,,...,...,12.95,15.00,14.40,12.95,12.60,11.65,12.65,17.00,10.50,8.00,6.25,6.25,5.75,5.25,5.00,3.25,1.75,0.50,0.50,2.50,7.00
,Japan,Units,,...,...,...,...,...,...,...,0.50,0.10,0.10,0.05,0.05,0.05,...,...,...,...,-0.10,-0.10,-0.10,-0.10,-0.10,...
